line_label,route_color,route_text_color
"&","9C9C9C","FFFFFF"
"%","9C9C9C","FFFFFF"
"$","9C9C9C","FFFFFF"
"1","F39B9B","FFFFFF"
"10","A71680","FFFFFF"
"14","9C9C9C","FFFFFF"
"15","F7AB64","FFFFFF"
"2","B10346","FFFFFF"
"20","E17600","FFFFFF"
"21","E30613","FFFFFF"
"21A","E30613","FFFFFF"
"21E","9C9C9C","FFFFFF"
"22","FDC300","FFFFFF"
"22E","9C9C9C","FFFFFF"
"23","E48F00","FFFFFF"
"23E","9C9C9C","FFFFFF"
"24","8D2176","FFFFFF"
"25","9C9C9C","FFFFFF"
"26","F39B9B","FFFFFF"
"27","4E2583","FFFFFF"
"27E","9C9C9C","FFFFFF"
"28","B2A0CD","FFFFFF"
"29","0BBBEF","FFFFFF"
"29E","9C9C9C","FFFFFF"
"3","D6AD00","FFFFFF"
"30","B2A0CD","FFFFFF"
"31","4A96D2","FFFFFF"
"31E","9C9C9C","FFFFFF"
"32","A2C3D6","FFFFFF"
"32A","A2C3D6","FFFFFF"
"32E","9C9C9C","FFFFFF"
"33","0069B4","FFFFFF"
"33E","E17600","FFFFFF"
"34","009FE3","FFFFFF"
"34E","9C9C9C","FFFFFF"
"35","4E2583","FFFFFF"
"35E","9C9C9C","FFFFFF"
"36","B2A0CD","FFFFFF"
"37","95C23D","FFFFFF"
"38","0097B6","FFFFFF"
"39","4E2583","FFFFFF"
"39A","4E2583","FFFFFF"
"4","E30613","FFFFFF"
"40","4E2583","FFFFFF"
"40E","9C9C9C","FFFFFF"
"42","A2C3D6","FFFFFF"
"43","4A96D2","FFFFFF"
"4346","9C9C9C","FFFFFF"
"43E","9C9C9C","FFFFFF"
"44","009A93","FFFFFF"
"45","0069B4","FFFFFF"
"46","A89BB1","FFFFFF"
"46E","9C9C9C","FFFFFF"
"47","83D0F5","FFFFFF"
"47E","9C9C9C","FFFFFF"
"48","009FE3","FFFFFF"
"48E","9C9C9C","FFFFFF"
"49","009640","FFFFFF"
"4A","E30613","FFFFFF"
"5","00975F","FFFFFF"
"50","92C56E","FFFFFF"
"50E","9C9C9C","FFFFFF"
"51","0069B4","FFFFFF"
"51E","9C9C9C","FFFFFF"
"52","A89BB1","FFFFFF"
"52E","9C9C9C","FFFFFF"
"53","0BBBEF","FFFFFF"
"53E","9C9C9C","FFFFFF"
"54","B2A0CD","FFFFFF"
"55","4E2583","FFFFFF"
"55E","9C9C9C","FFFFFF"
"56","0BBBEF","FFFFFF"
"57","5BC5F2","FFFFFF"
"570","9C9C9C","FFFFFF"
"571","9C9C9C","FFFFFF"
"57E","9C9C9C","FFFFFF"
"58","A2C3D6","FFFFFF"
"581","9C9C9C","FFFFFF"
"585","9C9C9C","FFFFFF"
"58E","9C9C9C","FFFFFF"
"59","A89BB1","FFFFFF"
"5A","00975F","FFFFFF"
"6","966C29","FFFFFF"
"60","4E2583","FFFFFF"
"60E","9C9C9C","FFFFFF"
"61","4A96D2","FFFFFF"
"62","A89BB1","FFFFFF"
"63","A2C3D6","FFFFFF"
"63E","9C9C9C","FFFFFF"
"64","0091A6","FFFFFF"
"64E","9C9C9C","FFFFFF"
"65","8BC5BD","FFFFFF"
"66","E6007E","FFFFFF"
"67","4E2583","FFFFFF"
"6A","966C29","FFFFFF"
"7","FFCC00","FFFFFF"
"70","4A96D2","FFFFFF"
"70E","9C9C9C","FFFFFF"
"71","A89BB1","FFFFFF"
"72","0069B4","FFFFFF"
"72E","9C9C9C","FFFFFF"
"73","8BC5BD","FFFFFF"
"73E","9C9C9C","FFFFFF"
"74","83D0F5","FFFFFF"
"74E","9C9C9C","FFFFFF"
"75","008F89","FFFFFF"
"75E","9C9C9C","FFFFFF"
"76","4E2583","FFFFFF"
"76E","9C9C9C","FFFFFF"
"77","C291B9","FFFFFF"
"78","4A96D2","FFFFFF"
"8","E17600","FFFFFF"
"80","B2A0CD","FFFFFF"
"80E","9C9C9C","FFFFFF"
"83","9C9C9C","FFFFFF"
"84","B2A0CD","FFFFFF"
"85","0069B4","FFFFFF"
"86","83D0F5","FFFFFF"
"87","69598F","FFFFFF"
"87E","9C9C9C","FFFFFF"
"88","8BC5BD","FFFFFF"
"89","966C29","FFFFFF"
"89E","9C9C9C","FFFFFF"
"9","95C23D","FFFFFF"
"90","85BC21","FFFFFF"
"90E","9C9C9C","FFFFFF"
"94","81D0F5","FFFFFF"
"94E","9C9C9C","FFFFFF"
"95","0069B4","FFFFFF"
"96","C05C13","FFFFFF"
"97","FFED00","FFFFFF"
"97E","9C9C9C","FFFFFF"
"E33","9C9C9C","FFFFFF"
"M1","966C29","FFFFFF"
"M2","009FE3","FFFFFF"
"M3","4E2583","FFFFFF"
"M4","E30613","FFFFFF"
"M5","FFCC00","FFFFFF"
"P+R","9C9C9C","FFFFFF"
"X","9C9C9C","FFFFFF"
