line_label,route_color,route_text_color
FEX,79122F,FFFFFF
RB10,66AA22,FFFFFF
RB12,A5027D,FFFFFF
RB14,A5027D,FFFFFF
RB20,007734,FFFFFF
RB21,501689,FFFFFF
RB22,009BD5,FFFFFF
RB23,EB7405,FFFFFF
RB24,DA6BA2,FFFFFF
RB25,007CB0,FFFFFF
RB26,009686,FFFFFF
RB27,E2001A,FFFFFF
RB31,66AA22,FFFFFF
RB32,697C8A,FFFFFF
RB33,A5027D,FFFFFF
RB34,0066AD,FFFFFF
RB35,816DA6,FFFFFF
RB36,AD5937,FFFFFF
RB37,AD5937,FFFFFF
RB43,009BD5,FFFFFF
RB45,FFD502,000000
RB46,DA6BA2,FFFFFF
RB49,992746,FFFFFF
RB51,DA6BA2,FFFFFF
RB54,816DA6,FFFFFF
RB55,EB7405,FFFFFF
RB60,66AA22,FFFFFF
RB61,992746,FFFFFF
RB63,FFD502,000000
RB65,0066AD,FFFFFF
RB66,007734,FFFFFF
RB73,009686,FFFFFF
RB74,0066AD,FFFFFF
RB91,EB7405,FFFFFF
RB92,EB7405,FFFFFF
RB93,EB7405,FFFFFF
RE1,E2001A,FFFFFF
RE10,5E5E5D,FFFFFF
RE13,009686,FFFFFF
RE14,A98956,FFFFFF
RE15,FFD502,000000
RE18,EB7405,FFFFFF
RE2,FFD502,000000
RE3,EB7405,FFFFFF
RE4,992746,FFFFFF
RE5,0066AD,FFFFFF
RE6,DA6BA2,FFFFFF
RE66,007734,FFFFFF
RE7,007734,FFFFFF
RE8,816DA6,FFFFFF
RE85,AD5937,FFFFFF
S1,DA6BA2,FFFFFF
S2,007734,FFFFFF
S25,007734,FFFFFF
S26,007734,FFFFFF
S3,0066AD,FFFFFF
S41,AD5937,FFFFFF
S42,CB6418,FFFFFF
S45,CD9C53,FFFFFF
S46,CD9C53,FFFFFF
S47,CD9C53,FFFFFF
S5,EB7405,FFFFFF
S7,816DA6,FFFFFF
S75,816DA6,FFFFFF
S8,66AA22,FFFFFF
S85,66AA22,FFFFFF
S9,992746,FFFFFF
U1,7DAD4C,FFFFFF
U2,DA421E,FFFFFF
U3,16683D,FFFFFF
U4,F0D722,000000
U5,7E5330,FFFFFF
U6,8C6DAB,FFFFFF
U7,009BD5,FFFFFF
U8,224F86,FFFFFF
U9,F3791D,FFFFFF
X4,006E6B,FFFFFF
X8,73AEF4,000000
X9,6E368C,FFFFFF
